QM Energy	FF Energy
      0.00166943      0.00152905
     -0.00166333     -0.00152836
     -0.00597302     -0.00572154
     -0.00829776     -0.00856211
     -0.00254062     -0.00300239
     -0.00101791     -0.00094191
     -0.00407505     -0.00401633
     -0.00439232     -0.00380736
      0.00254427       0.0024304
      -0.0117673      -0.0114538
    -0.000110237    -8.78116e-05
      -0.0012169     -0.00102381
       0.0010325      0.00097414
     0.000249635     0.000186102
      0.00200909      0.00202471
     -0.00267715     -0.00252047
    -0.000214302    -0.000201009
    -0.000768081    -0.000964157
     -0.00227916     -0.00225757
       -0.003153     -0.00312809
      0.00020668     0.000262797
    -0.000588768    -0.000596855
     0.000199338     0.000252191
      5.0163e-05     5.67858e-05
      -0.0102514      -0.0101406
      1.3344e-05     6.01323e-06
     -0.00744596     -0.00765099
     -0.00299032     -0.00286281
      0.00141816      0.00131367
      -2.825e-06    -0.000117233
     -0.00243211     -0.00257132
     -0.00174444     -0.00209018
      0.00117125      0.00118505
    -0.000862269    -0.000843697
    -0.000779572    -0.000735352
      0.00109952     0.000924625
     -0.00101203     -0.00109533
      -0.0082853     -0.00823408
    -0.000292684    -0.000366254
     0.000303536     0.000378462
     -0.00245571     -0.00245413
      0.00103768     0.000966006
    -0.000733743     -0.00065463
     -0.00151799     -0.00156946
    -0.000712612    -0.000624649
      -0.0076564     -0.00727149
     -0.00248243     -0.00238179
     -0.00111809     -0.00117331
      -0.0036361     -0.00353166
     0.000180612     0.000116485
     -0.00213589     -0.00195812
     -0.00435964     -0.00468013
     -0.00853641     -0.00859696
     -0.00313119     -0.00328978
     -0.00071352    -0.000701326
     -0.00507456     -0.00469575
     0.000230888     0.000113878
      0.00237289      0.00244609
    -0.000506465    -0.000465642
    -0.000819205     -0.00099395
     -0.00165784     -0.00241593
     -0.00117021     -0.00112355
    -0.000906213    -0.000924772
       -0.013879      -0.0148422
     -0.00341728     -0.00324004
     -1.7153e-05    -0.000263039
     -0.00176687     -0.00211932
     0.000567827     0.000414974
      0.00115706      0.00121794
     -0.00110749     -0.00106606
    -0.000415429    -0.000385009
      -0.0122135      -0.0112828
      0.00120005     0.000885931
      -0.0100185      -0.0106767
    -0.000494015    -0.000429429
    -0.000894341    -0.000710671
    -0.000596017    -0.000828936
     -0.00190623      -0.0016788
     -0.00036993    -0.000795219
      -0.0165111      -0.0178299
     -0.00937756      -0.0107125
     -0.00170671     -0.00205687
     -0.00597003      -0.0064639
      0.00173376      0.00184435
     -0.00301134     -0.00310665
     -0.00179439     -0.00177229
     -0.00725768     -0.00759372
     -0.00269251     -0.00277932
     0.000336878     0.000394415
     -0.00105054     -0.00107731
      0.00182743      0.00179913
      0.00162052      0.00169494
     -0.00772329     -0.00776419
      0.00206026      0.00204532
